"count","category"
"56945",NULL
"54409",""
"8364","חטיפים ומתוקים"
"6333","בשר"
"5801","מוצרי היגיינה"
"4862","חד פעמי"
"4648","מוצרי טיפוח"
"3053","מאפים ולחמים"
"2901","גבינות"
"2865","חומרי ניקוי"
"2609","משקאות חריפים"
"2398","יין"
"2283","משקאות קלים"
"2252","איפור"
"1986","שימורים"
"1842","דגים"
"1674","דגנים"
"1523","שוקולד"
"1515","תבלינים"
"1351","שמפו ומרכך"
"1300","ממרחים"
"1298","גלידות"
"1208","פסטה"
"1179","מוצרי כביסה"
"1106","קפה"
"1099","עוגות ועוגיות"
"1090","פיצוחים"
"1049","בושם"
"1020","פירות וירקות קפואים"
"1010","מוצרים לבעלי חיים"
"946","מוצרים לבית"
"930","רטבים"
"916","מוצרי תה"
"905","מוצרי שיניים"
"881","סבון"
"841","סלטים"
"805","שמן"
"805","מעדנים"
"763","מוצרי אפייה"
"762","מוצרי תינוקות"
"703","ירקות ופירות"
"682","קטניות"
"664","יוגורט"
"648","בונבוניירות אריזות שי"
"628","טונה"
"593","מוצרי חלב"
"545","פירות יבשים"
"526","קמח"
"482","מוצרי עגבניות"
"428","ביצים"
"426","קרקרים"
"421","תחליפי חלב"
"382","אורז"
"361","ארוחות מוכנות"
"353","מים"
"324","בצקים קפואים"
"322","מוצרי מזון לתינוקות"
"304","תבשילים"
"303","מוצרי נייר"
"303","מוצרי ניקוי"
"291","מוצרי חשמל"
"286","ריבות"
"284","חיתולים"
"279","ציוד למנגל"
"275","מוצרי בישול"
"261","קוסקוס ופתיתים"
"259","סלט חומוס"
"258","מרקים"
"244","דבש"
"235","תחליפי בשר"
"220","נייר טואלט"
"216","אגוזים"
"213","חמאה"
"204","טחינה"
"184","גבינות לבנות"
"181","סיגריות"
"166","חומץ"
"151","קוטל חרקים"
"150","גלידה"
"124","תוספי תזונה"
"122","מלח"
"121","סוכר"
"113","קקאו"
"112","פירות ים"
"108","גבינות שמנת"
"107","ממתיקים"
"104","תחליפי מזון לתינוקות"
"100","שומשום\קוקוס\פרג"
"86","חרדל"
"85","גבינות צהובות"
"79","פירורי לחם"
"74","משחות וצבעי נעליים"
"73","ירקות"
"67","תוספות למרק"
"63","קטשופ"
"51","מוצרי בית"
"46","מוצרים לפסח"
"44","קוטג"
"38","טופו"
"23","חטופים ומתוקים"
"18","תוספי מזון"
"10","אפטרסאן"
"6","גבינות לבנית"
"3","קצפות"
"2","סיגוריות"
"1","פירות וירקות"
"1","מוצרי חשמל (Electrical products)"
"1","חומרי אפייה"
