source,osm_id,store_name,chainname,address,city,latitude,longitude,store_type,phone,website
OpenStreetMap,n8834210517,,,الفارعة - النصارية طريق سهل سميط,,32.2811331,35.3417001,supermarket,,
OpenStreetMap,n10001451472,,,شارع حسني صوبر 5,,31.9559773,35.8456887,supermarket,,
OpenStreetMap,n10101730018,,,طريق مسحة - الزاوية,,32.107449,35.050196,supermarket,0599044860,
OpenStreetMap,n8297074731,,,قفين,,32.4222391,35.0852874,supermarket,,
OpenStreetMap,n5033851637,,,פרישמן 61,,32.0797187,34.7769194,convenience,,
OpenStreetMap,n2079204160,,,אינשטיין 69,,32.113519,34.799449,convenience,,
OpenStreetMap,n13195283501,,,בר יוחאי,,31.7539277,35.1926398,convenience,,
OpenStreetMap,n12762979801,,,הדר יוסף,,32.109287,34.8185952,supermarket,,
OpenStreetMap,n12755443501,,,00962776233979,,30.325379,35.4730329,supermarket,00962776233979,
OpenStreetMap,w352770611,,,איילה 17,,31.6621103,34.576414,supermarket,,
OpenStreetMap,w686891971,,,Sa'eed Moh'd Al-Abbadi Street 101,,31.8876633,35.8577066,supermarket,,
OpenStreetMap,n4442514492,,,Yusre Salah Street,,32.2185221,35.2339949,supermarket,,
OpenStreetMap,n2702791981,,,ליבריה 2,,32.7685982,35.0036188,supermarket,,
OpenStreetMap,n4694464792,,,Rafedya Street,,32.2231848,35.2412872,supermarket,,
OpenStreetMap,n4807530621,,,שלם 2,,32.0532805,34.813124,supermarket,,
OpenStreetMap,n4924452423,,,שדרות העצמאות 10,,32.0219738,34.7415948,supermarket,,
OpenStreetMap,n1314891137,,,הרצל 1,,32.330896,34.8511896,supermarket,,
OpenStreetMap,n569640235,,,שמואל הנציב 43,,32.3348639,34.8565838,supermarket,,
OpenStreetMap,n2079194769,,,אינשטיין 56,,32.11289,34.798673,supermarket,,
OpenStreetMap,n1935684718,,,At Tarbeya Street,,32.307557,35.0258148,supermarket,,
OpenStreetMap,n1620137397,,,הראשונים 30,,32.7395556,35.0792942,supermarket,,
OpenStreetMap,n9178008880,,,,,30.7072584,35.8870644,convenience,,
OpenStreetMap,n4959048264,,,,,31.8102674,35.1978909,supermarket,,
OpenStreetMap,n5921553485,,,,,31.5129518,35.1615623,supermarket,,
OpenStreetMap,n6031683097,,,,,32.814342,34.9922149,convenience,,
OpenStreetMap,n7931624009,,,,,33.0805265,35.3725377,general,,
OpenStreetMap,n6130051653,,,,,31.965831,35.8894641,convenience,,
OpenStreetMap,n432044636,,,,,32.1390006,35.2834723,supermarket,,
OpenStreetMap,n5921553089,,,,,31.516404,35.160138,supermarket,,
OpenStreetMap,n432094317,,,,,32.1600148,35.2929447,supermarket,,
OpenStreetMap,n432040783,,,,,32.2087667,35.1904563,supermarket,,
OpenStreetMap,n432099892,,,,,32.1619557,35.2878743,supermarket,,
OpenStreetMap,n8933776118,,,,,31.2459925,34.8002977,convenience,,
OpenStreetMap,n432099785,,,,,32.1619112,35.2898513,supermarket,,
OpenStreetMap,n5921553486,,,,,31.5167308,35.1638044,supermarket,,
OpenStreetMap,n5921553093,,,,,31.5628954,35.1278906,supermarket,,
OpenStreetMap,n8951460721,,,,,30.6125799,34.8047683,convenience,,
OpenStreetMap,n5921553091,,,,,31.5116516,35.1608811,supermarket,,
OpenStreetMap,n5921553097,,,,,31.5739825,35.1371707,supermarket,,
OpenStreetMap,n9038098477,,,,,31.983057,35.8944167,convenience,,
OpenStreetMap,n11068946005,,,,,31.5020967,34.4647742,supermarket,,
OpenStreetMap,n432042101,,,,,32.1607015,35.2869783,supermarket,,
OpenStreetMap,n5921553095,,,,,31.5663158,35.131651,supermarket,,
OpenStreetMap,n432047288,,,,,32.125555,35.3100108,supermarket,,
OpenStreetMap,n5921553096,,,,,31.5712325,35.1354429,supermarket,,
OpenStreetMap,n432352837,,,,,32.0677853,35.0846626,supermarket,,
OpenStreetMap,n9112097902,,,,,31.2576631,35.2106986,convenience,,
OpenStreetMap,n432094720,,,,,32.1260054,35.3404999,supermarket,,
OpenStreetMap,n9178198994,,,,,32.0055467,35.872454,convenience,,
OpenStreetMap,n11137776574,,,,,31.9522949,35.8366112,supermarket,,
OpenStreetMap,n5921553090,,,,,31.5132696,35.1617482,supermarket,,
OpenStreetMap,n8952370361,,,,,32.1720035,34.852633,convenience,,
OpenStreetMap,n432041119,,,,,32.1080301,35.268713,supermarket,,
OpenStreetMap,n9178121001,,,,,31.9253313,35.8688542,convenience,,
OpenStreetMap,n6088732855,,,,,29.5700461,35.4203844,supermarket,,
OpenStreetMap,n9178455668,,,,,31.9804689,35.8355757,convenience,,
OpenStreetMap,n11076744005,,,,,31.4935015,34.4787925,supermarket,,
OpenStreetMap,n9480592182,,,,,31.5258011,34.6005755,convenience,,
OpenStreetMap,n432352412,,,,,32.1292971,35.143836,supermarket,,
OpenStreetMap,n432009129,,,,,32.1587063,35.2239963,supermarket,,
OpenStreetMap,n5921552987,,,,,31.5156863,35.1619787,supermarket,,
OpenStreetMap,n432352298,,,,,32.1265895,35.1001513,supermarket,,
OpenStreetMap,n432008433,,,,,32.164294,35.2851444,supermarket,,
OpenStreetMap,n11076607205,,,,,31.4971255,34.4688243,supermarket,,
OpenStreetMap,n5921552985,,,,,31.600125,35.0144417,supermarket,,
OpenStreetMap,n432006922,,,,,32.1071886,35.2653983,supermarket,,
OpenStreetMap,n9623734519,,,,,32.9648734,35.3795925,convenience,,
OpenStreetMap,n11076682905,,,,,31.49869,34.4683398,supermarket,,
OpenStreetMap,n6231218339,,,,,29.5633774,34.9571126,supermarket,,
OpenStreetMap,n9396134820,,,,,29.5235322,35.0074893,convenience,,
OpenStreetMap,n432352286,,,,,32.1163259,35.1983632,supermarket,,
OpenStreetMap,n432111093,,,,,32.3019515,35.1902383,supermarket,,
OpenStreetMap,n6232949110,,,,,29.5628671,34.942846,supermarket,,
OpenStreetMap,n13688812001,,,,,31.9034214,35.1974258,grocery,,
