store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
car_002,מרקט אשקלון החאן,קרפור,קרפור מרקט,2,הרצל 33,אשקלון,7860132,31.6690874,34.586559,8.245943642,871
car_004,אשקלון צפוני,קרפור,קרפור היפר,,הפנינים 28,אשקלון,7863636,31.6682664,34.6023671,-5.567548729,2292
car_009,היפר רעננה רמה,קרפור,קרפור היפר,9,זרחין 12,רעננה,4320906,32.1958481,34.8836394,-5.353693805,2404
car_010,כפר סבא,קרפור,קרפור,10,השקמה 21,כפר סבא,4450012,32.176305,34.933172,-5.157682307,2292
car_012,פתח תקוה,קרפור,קרפור מרקט,12,בר כוכבא 63,פתח תקווה,4922055,32.096693,34.8856478,-8.307509196,2556
car_019,תל מונד,קרפור,קרפור,,בני דרור 8,תל נונד,4063134,32.261756,34.901082,3.04373696,1700
car_026,מרקט ראש העין יהושע,קרפור,קרפור מרקט,26,יהושע בן נון 77,ראש העין,4804824,32.1047554,34.9425888,0.55685738,2152
car_033,היפר בית שמש,קרפור,קרפור היפר,33,"שדרות יגאל אלון ,מרכז ביג",בית שמש,9906201,31.7564164,34.9902576,-5.563193053,2395
car_037,מרקט אור יהודה,קרפור,קרפור מרקט,37,המפעל 13,אור יהודה,0,32.0347675,34.8499789,-6.951652761,2881
car_041,מרקט אור עקיבא,קרפור,קרפור היפר,41,האילן 2 א.ת צפוני אור עקיבא,אור עקיבא,3063907,32.5146179,34.9232696,-5.781026394,2045
car_044,מרקט מעלות תרשיחא,קרפור,קרפור מרקט,44,שלמה שרירא 3 מעלות תרשיחא,מעלות תרשיחא,2120107,33.0216836,35.2802834,0.13768034,2065
car_046,רמלה,קרפור,קרפור,46,קלאוזנר 10,רמלה,7243224,31.9229092,34.8779067,0.472442105,1957
car_055,דליית אל כרמל,קרפור,קרפור היפר,55,דרך ראשית 672 כיכר חמוד אל-קארה,דלית אלכרמל,3005600,32.6955201,35.0514526,-0.806666649,1193
car_056,מרקט ערד,קרפור,קרפור מרקט,56,התעשיה 60,ערד,8909424,31.2481659,35.2011827,-5.386375369,2004
car_057,היפר בית שאן,קרפור,קרפור היפר,57,א.ת צפוני בית שאן,בית שאן,1177940,32.497103,35.497336,-5.516305178,2041
car_059,מרקט קרית גת,קרפור,קרפור מרקט,59,אסתר המלכה 19,קרית גת,0,31.6353946,34.7722321,0.410254448,273
car_060,מרקט אשדוד,קרפור,קרפור מרקט,60,השייטים 9,אשדוד,7744140,31.800285,34.6415622,2.931999957,1618
car_061,נתניה בסיטי,קרפור,קרפור,61,"האר""י 12",נתניה,4628555,32.3119039,34.8565982,0.874999035,1387
car_062,בסיטי מודיעין,קרפור,קרפור סיטי,62,עמק החולה 76,מודיעין מכבים רעות,7170399,31.8962796,35.0112568,12.38444116,1223
car_063,קרפור קרית ראשון,קרפור,קרפור,,החלמונית 29,ראשון לציון,7542033,31.9696904,34.7832776,0.807740077,2537
car_064,סיטי הרצליה ליד הבית,קרפור,קרפור סיטי,64,רבי עקיבא 50,הרצליה,46422360,32.153352,34.8496839,11.63260062,963
car_065,קרפור מרקט אשקלון,קרפור,קרפור מרקט,,קיבוץ גלויות 5,אשקלון,7834104,31.66631402,34.56677972,-0.594134281,1300
car_067,סיטי חולון,קרפור,קרפור סיטי,67,המרגנית 2,חולון,5845909,32.00964386,34.77882158,12.44314137,1600
car_068,מרקט אשקלון ברנע,קרפור,קרפור מרקט,68,הודית לייפר מילר 6,אשקלון,7880811,31.69902796,34.58319994,11.3400038,930
car_073,קרפור מרקט עתלית,קרפור,קרפור מרקט,73,רחוב הרדוף מרכז מסחרי,עתלית,3032706,32.6960656,34.9458283,11.53129416,1500
car_074,קרפור רמלה לוין,קרפור,קרפור מרקט,,אבא אחימאיר 1 קרית מנחם,רמלה,7228401,31.9189548,34.8694953,0.060275571,1278
car_080,טבעון,קרפור,קרפור,80,"קק""ל 16 קרית טבעון",טבעון,3608208,32.7116459,35.1201256,12.53628659,1090
